DP03_0062E,state,zip code tabulation area,,,,,
42857,42,17774,,,,,
45206,42,17815,,,,,
41667,42,17827,,,,,
47136,42,17837,,,,,
41950,42,17846,,,,,
38765,42,17847,,,,,
45793,42,17853,,,,,
50481,42,17878,,,,,
26875,42,17884,,,,,
49583,42,17888,,,,,
18125,42,17945,,,,,
79592,42,17339,,,,,
60444,42,17406,,,,,
59597,42,17502,,,,,
60694,42,17532,,,,,
59741,42,17540,,,,,
66678,42,17543,,,,,
63086,42,17584,,,,,
35071,42,17701,,,,,
48997,42,17702,,,,,
38836,42,17724,,,,,
58039,42,17728,,,,,
35000,42,17729,,,,,
44701,42,17771,,,,,
44408,42,17813,,,,,
42792,42,17842,,,,,
36818,42,17850,,,,,
51765,42,17856,,,,,
46146,42,17857,,,,,
49722,42,17864,,,,,
38472,42,17867,,,,,
43487,42,17901,,,,,
31705,42,17930,,,,,
65909,42,17949,,,,,
35721,42,17954,,,,,
34292,42,17970,,,,,
44018,42,17936,,,,,
41042,42,17944,,,,,
26250,42,17952,,,,,
32404,42,17982,,,,,
51875,42,17983,,,,,
17868,42,17946,,,,,
33393,42,17957,,,,,
49712,42,17968,,,,,
60750,42,17003,,,,,
158153,10,19807,,,,,
62413,10,19809,,,,,
87125,10,19810,,,,,
68291,10,19938,,,,,
46250,10,19940,,,,,
109821,24,20880,,,,,
59806,24,20903,,,,,
133750,51,20197,,,,,
90896,11,20008,,,,,
77835,11,20009,,,,,
86071,24,20611,,,,,
88789,24,20616,,,,,
90287,24,20619,,,,,
71319,24,20620,,,,,
26313,42,17764,,,,,
40684,42,17814,,,,,
45313,42,17830,,,,,
59783,42,17938,,,,,
53750,42,17985,,,,,
49722,42,17744,,,,,
56771,42,17868,,,,,
51490,42,17980,,,,,
67753,42,17015,,,,,
35156,42,17030,,,,,
NA,42,17039,,,,,
81781,42,17050,,,,,
58906,42,17056,,,,,
28958,42,17071,,,,,
NA,42,17120,,,,,
58643,42,17202,,,,,
86607,42,17210,,,,,
34632,42,17217,,,,,
45250,42,17246,,,,,
28688,42,17247,,,,,
47235,42,17250,,,,,
40417,42,17251,,,,,
19156,42,17256,,,,,
NA,42,17261,,,,,
63182,42,17263,,,,,
52906,42,17272,,,,,
75000,42,17371,,,,,
60724,42,17408,,,,,
NA,42,17507,,,,,
62386,42,17550,,,,,
26136,42,17606,,,,,
23750,42,17723,,,,,
33125,42,17727,,,,,
58654,42,17779,,,,,
NA,42,17822,,,,,
48750,42,17876,,,,,
29125,42,17880,,,,,
51050,42,17268,,,,,
51667,42,17271,,,,,
41771,42,17094,,,,,
39459,42,17102,,,,,
41771,42,17223,,,,,
34250,42,17224,,,,,
53515,42,17236,,,,,
57845,42,17240,,,,,
NA,11,20427,,,,,
NA,11,20506,,,,,
NA,11,20510,,,,,
NA,11,20520,,,,,
NA,11,20535,,,,,
NA,11,20540,,,,,
NA,11,20551,,,,,
NA,11,20553,,,,,
NA,11,20560,,,,,
NA,11,20565,,,,,
NA,11,20566,,,,,
